Status,Open Time,Close Time,Market,Side,Entry Price,Exit Price,Position Size ($),Position Size (Qty),Gross P&L,Realized P&L,Total Fees,Close Reason,Cumulative Wins,Cumulative Losses,Cumulative P&L,Cumulative Fees,Prev_Exit_Price,Gap_Size_Abs,Gap_Size_Pct,ATR,Gap_Size_ATR,MFE_pct,MAE_pct,MFE_usd,MAE_usd
LOSS,2025-11-27 00:29:59+00:00,2025-11-27 00:59:59+00:00,BTCUSDT,SHORT,90157.7,90426.6,1000.0,0.011092,-2.98,-3.58,0.6,REVERSE,0,1,-3.58,0.6,,0.0,0.0,291.16428571428594,,0.00011091676028921417,0.4162706014017693,0.001109167602892142,4.162706014017693
WIN,2025-11-27 00:59:59+00:00,2025-11-27 03:44:59+00:00,BTCUSDT,LONG,90426.6,91115.8,1000.0,0.011059,7.62,7.02,0.6,REVERSE,1,1,3.44,1.2,90426.6,0.0,0.0,272.0357142857143,,1.5740943483443965,0.11346218922308902,15.740943483443965,1.1346218922308902
LOSS,2025-11-27 03:44:59+00:00,2025-11-27 05:29:59+00:00,BTCUSDT,SHORT,91115.8,91447.3,1000.0,0.010975,-3.64,-4.24,0.6,REVERSE,1,2,-0.8,1.8,91115.8,0.0,0.0,355.000000000001,,0.12709102043773188,0.4436113165883382,1.2709102043773188,4.436113165883382
LOSS,2025-11-27 05:29:59+00:00,2025-11-27 05:59:59+00:00,BTCUSDT,LONG,91447.3,90932.0,1000.0,0.010935,-5.63,-6.23,0.6,REVERSE,1,3,-7.03,2.4,91447.3,0.0,0.0,312.9642857142847,,-0.00010935259980974918,0.6599429398134226,-0.0010935259980974917,6.599429398134226
LOSS,2025-11-27 05:59:59+00:00,2025-11-27 06:29:59+00:00,BTCUSDT,SHORT,90932.0,91336.5,1000.0,0.010997,-4.45,-5.05,0.6,REVERSE,1,4,-12.08,3.0,90932.0,0.0,0.0,309.5928571428563,,0.003519113183474563,0.48057889411868215,0.03519113183474563,4.805788941186821
WIN,2025-11-27 16:30:01+00:00,2025-11-27 19:30:00+00:00,BTCUSDT,LONG,91148.2,91569.0,1000.0,0.010971,4.02,3.42,0.6,REVERSE,2,4,-8.66,3.6,91336.5,188.3000000000029,0.20616073530297627,313.1214285714273,0.6013641444442027,0.7150991462256007,0.03521737127007584,7.150991462256006,0.3521737127007584
LOSS,2025-11-27 19:30:01+00:00,2025-11-27 21:45:00+00:00,BTCUSDT,SHORT,91569.0,91496.7,1000.0,0.010921,0.19,-0.41,0.6,REVERSE,2,5,-9.07,4.2,91569.0,0.0,0.0,235.68571428571366,,0.4505891731918071,0.14076816389825617,4.505891731918071,1.4076816389825615
LOSS,2025-11-27 21:45:01+00:00,2025-11-27 22:15:00+00:00,BTCUSDT,LONG,91496.7,91437.1,1000.0,0.010929,-1.25,-1.85,0.6,REVERSE,2,6,-10.92,4.8,91496.7,0.0,0.0,189.02142857142877,,0.044373185043838546,0.22022652183084201,0.4437318504383855,2.20226521830842
WIN,2025-11-27 22:15:01+00:00,2025-11-28 03:15:01+00:00,BTCUSDT,SHORT,91437.1,91053.2,1000.0,0.010936,3.6,3.0,0.6,REVERSE,3,6,-7.92,5.4,91437.1,0.0,0.0,165.94285714285797,,0.9021502212996789,0.12347285729752384,9.021502212996788,1.2347285729752384
WIN,2025-11-28 03:15:01+00:00,2025-11-28 06:30:00+00:00,BTCUSDT,LONG,91053.2,91267.1,1000.0,0.010983,1.75,1.15,0.6,REVERSE,4,6,-6.77,6.0,91053.2,0.0,0.0,236.68571428571678,,0.6993713565256388,0.06512676105837346,6.993713565256388,0.6512676105837347
