signal_id,symbol,time,gap_polarity,candle_open,candle_close,result,sequence,is_reversal
e8d6cf66,BTCUSDT,2025-12-08T11:29:59.999000+00:00,bullish,92097.40000000,91988.90000000,lose,5,False
4754e108,DOGEUSDT,2025-12-08T11:29:59.999000+00:00,bullish,0.14389000,0.14351000,lose,20,False
967a654c,XRPUSDT,2025-12-08T11:29:59.999000+00:00,bearish,2.09610000,2.09200000,win,4,False
df75a790,SOLUSDT,2025-12-08T11:29:59.999000+00:00,bullish,138.82000000,138.77000000,lose,9,False
f55d1f2e,BNBUSDT,2025-12-08T11:29:59.999000+00:00,bearish,909.31000000,908.24000000,win,1,True
ba5f6240,ETHUSDT,2025-12-08T11:29:59.999000+00:00,bullish,3158.46000000,3156.96000000,lose,6,False
bbf48791,ETHUSDT,2025-12-08T11:44:59.999000+00:00,bullish,3156.96000000,3142.53000000,lose,6,False
7830585d,XRPUSDT,2025-12-08T11:44:59.999000+00:00,bearish,2.09190000,2.08830000,win,4,False
78d788af,SOLUSDT,2025-12-08T11:44:59.999000+00:00,bullish,138.77000000,138.70000000,lose,9,False
95a62061,BNBUSDT,2025-12-08T11:44:59.999000+00:00,bearish,908.24000000,906.53000000,win,2,False
243e8c71,BTCUSDT,2025-12-08T11:44:59.999000+00:00,bearish,91988.80000000,91880.30000000,win,1,True
b9a01b15,DOGEUSDT,2025-12-08T11:44:59.999000+00:00,bearish,0.14351000,0.14313000,win,1,True
