status,open_time,close_time,symbol,side,entry_price,exit_price,position_size_usd,position_size_qty,num_fills,gross_pnl,realized_pnl,total_fees,close_reason,cumulative_wins,cumulative_losses,cumulative_pnl,cumulative_fees
LOSS,2025-12-01T11:38:57.899303+00:00,2025-11-30T19:44:59.999000+00:00,BTCUSDT,SHORT,91397.30464364,91408.90000000,270.00,0.00295414,3,-0.0343,-0.0937,0.059407,SIGNAL_REVERSAL,0,1,-0.0937,0.064807
LOSS,2025-12-01T11:38:57.981726+00:00,2025-11-30T20:24:59.999000+00:00,BTCUSDT,LONG,91471.08000659,91357.00000000,270.00,0.00295175,3,-0.3367,-0.3961,0.059333,SIGNAL_REVERSAL,0,2,-0.4897,0.129540
WIN,2025-12-01T11:38:58.024350+00:00,2025-11-30T20:34:59.999000+00:00,BTCUSDT,SHORT,91415.03787483,91173.70000000,190.00,0.00207843,2,0.5016,0.4599,0.041700,SIGNAL_REVERSAL,1,2,-0.0298,0.175039
LOSS,2025-12-01T11:38:58.053278+00:00,2025-11-30T20:49:59.999000+00:00,BTCUSDT,SHORT,91253.31089673,91283.50000000,270.00,0.00295880,3,-0.0893,-0.1487,0.059418,SIGNAL_REVERSAL,1,3,-0.1786,0.239857
LOSS,2025-12-01T11:38:58.090886+00:00,2025-11-30T21:14:59.999000+00:00,BTCUSDT,LONG,91243.28214286,91129.80000000,100.00,0.00109597,1,-0.1244,-0.1463,0.021975,SIGNAL_REVERSAL,1,4,-0.3249,0.263832
WIN,2025-12-01T11:38:58.114357+00:00,2025-11-30T21:39:59.999000+00:00,BTCUSDT,SHORT,91183.82857143,91061.00000000,100.00,0.00109669,1,0.1347,0.1127,0.021973,SIGNAL_REVERSAL,2,4,-0.2122,0.287805
LOSS,2025-12-01T11:38:58.173978+00:00,2025-11-30T22:34:59.999000+00:00,BTCUSDT,LONG,91188.52857143,91046.70000000,100.00,0.00109663,1,-0.1555,-0.1775,0.021969,SIGNAL_REVERSAL,2,5,-0.3897,0.311774
LOSS,2025-12-01T11:38:58.203854+00:00,2025-11-30T22:59:59.999000+00:00,BTCUSDT,SHORT,91132.94629302,91178.90000000,270.00,0.00296270,3,-0.1361,-0.1956,0.059427,SIGNAL_REVERSAL,2,6,-0.5853,0.376601
LOSS,2025-12-01T11:38:58.240638+00:00,2025-11-30T23:09:59.999000+00:00,BTCUSDT,LONG,91090.30580893,90863.30000000,270.00,0.00296409,3,-0.6729,-0.7321,0.059265,SIGNAL_REVERSAL,2,7,-1.3174,0.441267
WIN,2025-12-01T11:38:58.293942+00:00,2025-11-30T23:29:59.999000+00:00,BTCUSDT,SHORT,90947.36476262,90615.60000000,190.00,0.00208912,2,0.6931,0.6514,0.041661,SIGNAL_REVERSAL,3,7,-0.6660,0.486728
WIN,2025-12-01T11:38:58.325906+00:00,2025-11-30T23:54:59.999000+00:00,BTCUSDT,SHORT,90744.60433215,90353.50000000,270.00,0.00297538,3,1.1637,1.1045,0.059167,SIGNAL_REVERSAL,4,7,0.4386,0.551295
WIN,2025-12-01T11:38:58.365220+00:00,2025-12-01T00:09:59.999000+00:00,BTCUSDT,SHORT,90469.86702390,89101.00000000,190.00,0.00210015,2,2.8748,2.8336,0.041225,SIGNAL_REVERSAL,5,7,3.2722,0.596320
WIN,2025-12-01T11:38:58.397152+00:00,2025-12-01T00:24:59.999000+00:00,BTCUSDT,SHORT,89380.14498112,88503.70000000,270.00,0.00302081,3,2.6476,2.5887,0.058870,SIGNAL_REVERSAL,6,7,5.8609,0.660591
WIN,2025-12-01T11:38:58.436191+00:00,2025-12-01T00:39:59.999000+00:00,BTCUSDT,SHORT,88678.61428571,87829.70000000,100.00,0.00112767,1,0.9573,0.9355,0.021809,SIGNAL_REVERSAL,7,7,6.7963,0.684399
WIN,2025-12-01T11:38:58.460122+00:00,2025-12-01T00:54:59.999000+00:00,BTCUSDT,SHORT,88040.83214286,87115.30000000,100.00,0.00113584,1,1.0513,1.0295,0.021790,SIGNAL_REVERSAL,8,7,7.8258,0.708189
LOSS,2025-12-01T11:38:58.484077+00:00,2025-12-01T01:19:59.999000+00:00,BTCUSDT,SHORT,87466.55899226,87494.80000000,190.00,0.00217226,2,-0.0613,-0.1032,0.041812,SIGNAL_REVERSAL,8,8,7.7226,0.753802
LOSS,2025-12-01T11:38:58.517381+00:00,2025-12-01T01:54:59.999000+00:00,BTCUSDT,LONG,87271.19285714,87162.30000000,100.00,0.00114585,1,-0.1248,-0.1468,0.021975,SIGNAL_REVERSAL,8,9,7.5759,0.777777
WIN,2025-12-01T11:38:58.545727+00:00,2025-12-01T02:29:59.999000+00:00,BTCUSDT,SHORT,87319.50714286,87051.70000000,100.00,0.00114522,1,0.3067,0.2848,0.021939,SIGNAL_REVERSAL,9,9,7.8607,0.801715
WIN,2025-12-01T11:38:58.584966+00:00,2025-12-01T03:14:59.999000+00:00,BTCUSDT,SHORT,86904.35000000,86365.60000000,100.00,0.00115069,1,0.6199,0.5981,0.021876,SIGNAL_REVERSAL,10,9,8.4587,0.825591
WIN,2025-12-01T11:38:58.610945+00:00,2025-12-01T03:39:59.999000+00:00,BTCUSDT,SHORT,86492.35357143,86179.00000000,100.00,0.00115617,1,0.3623,0.3404,0.021928,SIGNAL_REVERSAL,11,9,8.7991,0.849519
WIN,2025-12-01T11:38:58.632668+00:00,2025-12-01T04:14:59.999000+00:00,BTCUSDT,SHORT,86367.49485995,86007.10000000,190.00,0.00219990,2,0.7928,0.7512,0.041641,SIGNAL_REVERSAL,12,9,9.5503,0.894960
WIN,2025-12-01T11:38:58.664383+00:00,2025-12-01T04:29:59.999000+00:00,BTCUSDT,SHORT,86167.14481046,85709.10000000,190.00,0.00220502,2,1.0100,0.9684,0.041598,SIGNAL_REVERSAL,13,9,10.5187,0.940358
LOSS,2025-12-01T11:38:58.700040+00:00,2025-12-01T04:44:59.999000+00:00,BTCUSDT,SHORT,85855.27668338,85866.90000000,190.00,0.00221303,2,-0.0257,-0.0675,0.041805,SIGNAL_REVERSAL,13,10,10.4511,0.985963
LOSS,2025-12-01T11:38:58.742614+00:00,2025-12-01T04:59:59.999000+00:00,BTCUSDT,LONG,85768.62857143,85767.70000000,100.00,0.00116593,1,-0.0011,-0.0231,0.022000,SIGNAL_REVERSAL,13,11,10.4281,1.009963
WIN,2025-12-01T11:38:58.770853+00:00,2025-12-01T05:34:59.999000+00:00,BTCUSDT,SHORT,85895.79574953,85842.90000000,290.00,0.00337618,3,0.1786,0.1148,0.063764,SIGNAL_REVERSAL,14,11,10.5429,1.079527
LOSS,2025-12-01T11:38:58.814606+00:00,2025-12-01T05:44:59.999000+00:00,BTCUSDT,LONG,85721.52238129,85716.70000000,190.00,0.00221648,2,-0.0107,-0.0525,0.041798,SIGNAL_REVERSAL,14,12,10.4904,1.125125
LOSS,2025-12-01T11:38:58.853664+00:00,2025-12-01T05:54:59.999000+00:00,BTCUSDT,SHORT,85838.53803702,85900.10000000,190.00,0.00221346,2,-0.1363,-0.1781,0.041827,SIGNAL_REVERSAL,14,13,10.3123,1.170753
LOSS,2025-12-01T11:38:58.909692+00:00,2025-12-01T06:24:59.999000+00:00,BTCUSDT,LONG,86099.83461220,85991.80000000,190.00,0.00220674,2,-0.2384,-0.2802,0.041752,SIGNAL_REVERSAL,14,14,10.0321,1.216305
LOSS,2025-12-01T11:38:58.947377+00:00,2025-12-01T06:44:59.999000+00:00,BTCUSDT,SHORT,86115.43225038,86243.20000000,190.00,0.00220634,2,-0.2819,-0.3238,0.041856,SIGNAL_REVERSAL,14,15,9.7084,1.261961
LOSS,2025-12-01T11:38:58.987721+00:00,2025-12-01T07:09:59.999000+00:00,BTCUSDT,LONG,86126.22387172,86079.20000000,190.00,0.00220606,2,-0.1037,-0.1455,0.041779,SIGNAL_REVERSAL,14,16,9.5629,1.307540
LOSS,2025-12-01T11:38:59.022159+00:00,2025-12-01T07:39:59.999000+00:00,BTCUSDT,SHORT,86190.37300818,86336.90000000,190.00,0.00220442,2,-0.3230,-0.3649,0.041865,SIGNAL_REVERSAL,14,17,9.1980,1.353205
WIN,2025-12-01T11:38:59.056636+00:00,2025-12-01T07:59:59.999000+00:00,BTCUSDT,LONG,86267.93928571,86487.60000000,100.00,0.00115918,1,0.2546,0.2326,0.022051,SIGNAL_REVERSAL,15,17,9.4306,1.377256
